term_str,n,num,stop,p_stem,pos_max,p,s,i,h,wlen,df,idf,tfidf_sum_doc_max
133,2,1,0,133,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
134,1,1,0,134,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
135,1,1,0,135,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
136,2,1,0,136,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
137,4,1,0,137,CD,7.362496180705106e-06,135823.5,17.051373588778933,0.00012554067292316082,3,1,2.0,0.0011961722488038277
138,2,1,0,138,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
139,1,1,0,139,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
14,2,1,0,14,JJ,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,2,1.0,0.00032992925255095657
140,3,1,0,140,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,3,1,2.0,0.0008971291866028708
141,4,1,0,141,CD,7.362496180705106e-06,135823.5,17.051373588778933,0.00012554067292316082,3,1,2.0,0.0011961722488038277
142,1,1,0,142,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
143,4,1,0,143,CD,7.362496180705106e-06,135823.5,17.051373588778933,0.00012554067292316082,3,1,2.0,0.0011961722488038277
144,1,1,0,144,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
145,2,1,0,145,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
146,2,1,0,146,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
147,1,1,0,147,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
148,2,1,0,148,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
149,1,1,0,149,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
15,1,1,0,15,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
150,1,1,0,150,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1500,1,1,0,1500,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
151,1,1,0,151,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
152,1,1,0,152,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
153,1,1,0,153,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
154,1,1,0,154,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
155,1,1,0,155,RB,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
156,5,1,0,156,CD,9.203120225881383e-06,108658.8,16.72944549389157,0.00015396309819261367,3,1,2.0,0.0014952153110047847
157,1,1,0,157,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
158,1,1,0,158,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
159,1,1,0,159,RB,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
16,1,1,0,16,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
160,1,1,0,160,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
161,1,1,0,161,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
162,1,1,0,162,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
163,2,1,0,163,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
164,2,1,0,164,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
165,1,1,0,165,RB,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
166,1,1,0,166,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
167,3,1,0,167,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,3,1,2.0,0.0008971291866028708
168,1,1,0,168,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
169,1,1,0,169,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
17,1,1,0,17,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
170,3,1,0,170,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,3,1,2.0,0.0008971291866028708
171,1,1,0,171,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
172,1,1,0,172,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1727,2,1,0,1727,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,4,1,2.0,0.0005980861244019139
173,1,1,0,173,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
174,1,1,0,174,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
175,3,1,0,175,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,3,1,2.0,0.0008971291866028708
176,2,1,0,176,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
177,1,1,0,177,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
178,1,1,0,178,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
179,1,1,0,179,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
18,2,1,0,18,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
180,1,1,0,180,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
181,1,1,0,181,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
182,1,1,0,182,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
183,1,1,0,183,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1834,1,1,0,1834,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
1839,1,1,0,1839,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
184,2,1,0,184,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
1848,1,1,0,1848,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
185,2,1,0,185,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
186,5,1,0,186,CD,9.203120225881383e-06,108658.8,16.72944549389157,0.00015396309819261367,3,1,2.0,0.0014952153110047847
187,2,1,0,187,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
188,1,1,0,188,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1887,1,1,0,1887,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
189,1,1,0,189,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1898,3,1,0,1898,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,4,1,2.0,0.0008971291866028708
19,1,1,0,19,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
192,1,1,0,192,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
195,1,1,0,195,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
196,2,1,0,196,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
197,1,1,0,197,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1a,1,1,0,1a,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
1b,1,1,0,1b,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
1c,2,1,0,1c,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
1d,1,1,0,1d,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
1e,2,1,0,1e,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
1e1,5,1,0,1e1,CD,9.203120225881383e-06,108658.8,16.72944549389157,0.00015396309819261367,3,1,2.0,0.0014952153110047847
1e2,1,1,0,1e2,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1e3,1,1,0,1e3,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1e4,1,1,0,1e4,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1e5,1,1,0,1e5,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1e6,1,1,0,1e6,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1e7,3,1,0,1e7,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,3,1,2.0,0.0008971291866028708
1e8,4,1,0,1e8,CD,7.362496180705106e-06,135823.5,17.051373588778933,0.00012554067292316082,3,1,2.0,0.0011961722488038277
1e9,3,1,0,1e9,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,3,1,2.0,0.0008971291866028708
1f,1,1,0,1f,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
1f1,1,1,0,1f1,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1f2,1,1,0,1f2,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1f3,5,1,0,1f3,CD,9.203120225881383e-06,108658.8,16.72944549389157,0.00015396309819261367,3,1,2.0,0.0014952153110047847
1f4,1,1,0,1f4,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1f5,1,1,0,1f5,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
1f6,1,1,0,1f6,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
2,36,1,0,2,JJ,6.626246562634596e-05,15091.499999999998,13.881448587336621,0.0009198190098622816,1,3,0.41503749927884376,0.0024905527121992154
20,2,1,0,20,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
2000,1,1,0,2000,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
2001,1,1,0,2001,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,4,1,2.0,0.0002990430622009569
21,1,1,0,21,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
211,1,1,0,211,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
213,2,1,0,213,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
217,1,1,0,217,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
218,1,1,0,218,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
22,1,1,0,22,RB,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
223,1,1,0,223,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
23,2,1,0,23,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,2,1.0,0.00032992925255095657
233,1,1,0,233,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
236,2,1,0,236,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
24,1,1,0,24,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
242,1,1,0,242,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
25,3,1,0,25,CD,5.52187213552883e-06,181098.0,17.46641108805778,9.644728869483803e-05,2,1,2.0,0.0008971291866028708
254,2,1,0,254,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
255,2,1,0,255,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
256,1,1,0,256,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
259,1,1,0,259,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
26,2,1,0,26,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
260,1,1,0,260,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
27,1,1,0,27,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
273,2,1,0,273,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
277,1,1,0,277,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
28,1,1,0,28,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
288,2,1,0,288,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
289,2,1,0,289,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
29,1,1,0,29,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
292,1,1,0,292,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
293,1,1,0,293,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
296,1,1,0,296,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
299,1,1,0,299,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
3,33,1,0,3,JJ,6.0740593490817124e-05,16463.454545454548,14.00697946942048,0.0008507922459862908,1,3,0.41503749927884376,0.002291516256667311
30,2,1,0,30,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
31,1,1,0,31,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
32,1,1,0,32,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
326,1,1,0,326,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
327,2,1,0,327,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
33,1,1,0,33,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
333,2,1,0,333,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
337,1,1,0,337,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
34,1,1,0,34,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
340,1,1,0,340,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
341,1,1,0,341,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
344,1,1,0,344,LS,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
349,2,1,0,349,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
35,1,1,0,35,RB,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
350,1,1,0,350,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
351,2,1,0,351,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,3,1,2.0,0.0005980861244019139
353,1,1,0,353,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
355,1,1,0,355,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
356,1,1,0,356,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
357,1,1,0,357,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
36,1,1,0,36,NN,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
365,1,1,0,365,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
37,2,1,0,37,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
38,1,1,0,38,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
39,1,1,0,39,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
4,28,1,0,4,JJ,5.153747326493574e-05,19403.357142857145,14.24401866672133,0.0007341007312213962,1,3,0.41503749927884376,0.001968393557177593
40,1,1,0,40,JJ,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
408,1,1,0,408,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
41,1,1,0,41,RB,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,2,1,2.0,0.0002990430622009569
412,1,1,0,412,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
416,1,1,0,416,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
42,2,1,0,42,CD,3.681248090352553e-06,271647.0,18.051373588778933,6.645158455193296e-05,2,1,2.0,0.0005980861244019139
421,1,1,0,421,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
425,1,1,0,425,CD,1.8406240451762765e-06,543294.0,19.051373588778933,3.5066416321142754e-05,3,1,2.0,0.0002990430622009569
